Date,Uhrzeit,m [kg],v [m/s],,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,09:00,38,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,06:00,187,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,10:00,36,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-07,14:00,6,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-11,06:00,65,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-11,16:00,58,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-14,11:00,365,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-16,02:00,22,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-18,06:00,146,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-19,17:00,29,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-20,22:00,40,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-21,11:00,304,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-22,21:00,33,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-29,07:00,50,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-06,02:00,77,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-10,20:00,76,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-14,05:00,138,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-15,11:00,152,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-16,18:00,241,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-25,14:00,97,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-28,05:00,37,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-28,12:00,64,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-07,21:00,55,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-10,16:00,0,32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-10,23:00,45,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-11,18:00,406,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-17,09:00,58,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-20,10:00,16,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-21,13:00,211,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-24,16:00,3,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-25,14:00,63,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-28,01:00,58,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
